Address,NERD Amount
0xBbe78880EE96F4Df30E71626439Be803e7baF95C,0.2872
0xC217250fE9048FaeFC2F79E26f393A2741B0c672,0.0060
0xC3e190676b560514aB4bffb60BEb23bcABd3D4D6,25.8216
0xC464ffF60fedb3CCFE6b5B8127335f480E1d5b50,1.0530
0xC523795A4929f69298A9bD43a94E5a51735A95da,0.0532
0xC52EFE58C489120634449AF7FdeF6A2a4cA100b7,0.9850
0xC70F954Fa5575DcA91Ab87F9e3950b7c014eD1eC,0.0095
0xC7C346adfCc5A38d1CEBc1d3Ecf23EC8519AC494,3.9200
0xC8A44E444e7dAc7744bf2FA35256F7300e9c04FB,1.0146
0xC8B6b7548d644B2688A91FecB36F4C8E8EB6c1A1,0.0087
0xCA733b9120A06F4Fd425C4f827E75918d9342bd9,1.3442
0xCbe2c22413Bc89E11D9854E90104EE098eAee61E,2.4542
0xCd782fFAcF49953093fa63E9df4D9926153d55f5,1.0848
0xD1c51914080C848Bf1f6bB79D325F2E1577870dc,0.9800
0xD24f31d95D8f71EaE262FE16176f2BE88067A1eC,0.3352
0xD3237b6C2CEE115DB0D4bfEF4789F6b3373584c8,0.5684
0xD3daC36C1Ef3F08fbCF4Ae7A0E3C24a2d74cF0bF,2.7544
0xD6ee257dC510fF6682fa54689D87ace46c8C79Cf,0.1555
0xDF397162161F80307d3DfAF7b44d196b57091a2A,0.1547
0xDa42D6E42558f941f1BCaD3DF8FB12D10871D469,19.4000
0xDf3214b148b715d53f2579bBD2bC75Ff2074A4BC,4.0000
0xE1EB610DFCB08EE6a70712305f022c486B676111,0.0002
0xE57B56CB35c57EeAD00E198c7D6E6506a2Acb6AB,0.1866
0xE8A4e0C7cBEB034fce661f08A52719592E7Ad5FC,10.0025
0xE8eDC0AFB7E8afDEC914023A825fb82099c1009a,0.6163
0xEA4f4C53646Bd30Dabb0BF89a043239B92d0cCF0,10.2353
0xED04d3792C439b8Af827B3e46EE626827De53Db5,0.0122
0xEcC60751B1B464981990037C55aff08b6513D3b8,6.8600
0xEdF0AB86f9Ac8878E7EBc40cf10B4BaD96477b14,0.9400
0xEf79948D3889496970B3D2F8B3c9F0776f8C843C,1.6562
0xF3F4fA24BB91e0390E0aA37E467942467Ad76460,0.0007
0xF4a5411139c6C660965162eb549cf3a1851F2943,10.3530
0xF64579f9F76E060e6E3fC88441d5147f722e9405,0.0600
0xF70E7013D4eDD78698447bfB58696e7f386BC67C,20.0000
0xFD53817F370F4D14B590C14Fa40cC5BC770F57D6,0.0170
0xFfE10080e156172f5742fdD4A5bF70208b419B98,0.4527
0xa28e586e24e6d78d05e822188DDC118Ac2fB034b,0.1180
0xa575A39766de0e961338De6F1D29DdFb3760b2E1,3.4300
0xa5CEF859cf964561128aBffb7F2A4C130770997c,0.0016
0xa61f576D9d3a5784F4115148657EDE79105b9Eb7,4.8500
0xa796FFb463a89cc390a9Bbe442cD2C56496F05CA,1.0275
0xaB99345164960Ec8c3d547cb241350A0749F8110,0.7620
0xaBEa83b489234CB96c6342D9614185f63Fc04d86,0.7252
0xadf5ed5207D89D65678988a52cB5bE40145013a9,0.0654
0xb22E625FB8aE8bCC21568678CeCa6B2b8A459BAc,0.5820
0xb22bF2130d2ba7e0e98E1553163DF0B062c6b242,0.5174
0xb2C5AE080a236fE89A87fDbd1F9D58aD4b57c6B2,0.0143
0xbBEAc29A1125e7C994B5C1749dd12045682F9467,0.2204
0xbBb9861C95a347953CA9f3918Ad3dCf6E6474551,1.5235
